-1.26	21.27
7.96	-20.77
6.99	-9.96
-15.91	3.33
23.31	4.27
-14.09	7.91
21.36	5.29
-2.95	-21.07
-5.26	1.18
-5.48	8.08
11.22	16.92
3.01	-11.99
-2.41	-4.85
-23.26	-1.91
24.46	2.66
-1.4	-15.86
17.17	-2.39
5.62	-12.93
-2.85	-14.29
-13.77	8.85
6.44	19.48
0.03	-10.34
-8.09	-8.81
-19.19	-4.52
17.54	4.63
6.11	-5.46
21.33	8.11
4.78	-5.18
0.44	-7.38
-14.53	9.43
0.24	26.59
-13.63	7.37
-5.02	-3.6
-6.03	-11.22
18.01	3.47
-3.19	-9.59
6.13	15.9
-13.37	9.99
-0.02	-11.68
-20.74	12.82
-4.39	-10.77
25.05	0.77
2.82	-9.29
5.66	-10.37
-3.56	-18.92
-20.85	3.08
3.01	-11.39
1.64	-10.74
5.02	20.77
3.94	20.88
0.98	-6.8
6.27	-7.26
6.9	-13.32
1.67	-9.99
10.71	-9.21
10.32	13.99
3.25	-9.59
6.66	-11.72
22.43	10.56
-19.41	-8.14
-23.57	3.62
4.77	-11.74
-23.89	0.59
-21.56	-8.82
28.18	7.43
21.39	11.18
21.36	8.29
14.77	17.14
19.45	-4.41
-7.71	-19.19
7.91	-10.86
-6.15	-5.71
6.31	20.1
-18.42	11.8
-1.28	0.97
2.99	-9.24
2.75	-11.29
6.56	-13.93
-3.43	22.84
-1.26	23.8
0.19	-15.57
1.34	-19.62
21.7	7.18
-20.24	-5.36
-3.73	-2.33
7.5	-20.86
6.52	-3.71
18.2	-13.21
22.07	2.24
-24.1	-1.81
3.14	-14.1
-20.61	-14.86
-20.18	12
12.56	-20.24
-0.16	-17.46
20.14	-4.68
3.12	-10.38
22.57	0.69
-24.69	-5.22
19.92	-19.2
22.77	4.99
8.56	23.52
-0.01	-3.91
-14.34	-23.07
24.5	1.27
-16.44	11.55
18.07	-1.41
-0.79	-9.23
3.68	-11.34
0.86	-7.07
16.83	-1.39
18.75	2.69
2.37	-17.66
-2	-10.53
3.61	-11.31
2.84	-7.49
-4.98	-4.54
-3.19	-16.2
0.29	-15.95
-11.93	11.52
-3.32	-3.67
16.71	-12.12
0.05	-18.77
-3.65	-14.98
24.51	1.22
-16.19	-0.52
7.65	21.09
1.77	-10.77
-15.35	13.88
4.32	-15.59
2.02	24.14
-3.91	3.83
-8.44	-7.62
-19.63	-12
18.42	-14.95
-0.99	-13.18
14.56	17.15
1.07	-17.98
1.21	-5.26
-18.3	14.03
3.56	21.53
2.8	-7.27
-10.03	-11.59
-26.95	0.82
22.42	-10.87
-4.35	-17.56
18.01	10.4
4.87	-20.4
4.21	-0.22
-18.43	11.88
8.08	22.28
-2.23	-2.52
-12.03	-14.19
-16.93	-8
19.64	-12.42
6.28	-2.24
20.02	6.83
3.86	-19.63
7.17	-12.27
-16.2	11.62
6.02	20.84
-12.96	8.28
1.56	-15.38
5.05	-10.99
18.2	15.43
2.42	-10.29
4.29	22.58
-14.51	12.32
3.65	-6.8
-16.94	12.66
4.05	-12.54
25.34	-12.59
-2.31	-3.41
0.13	-20.01
-2.23	-19.54
-21.54	-8.63
-2.48	-9.62
-1.92	3.65
2.81	24.27
10.78	16.17
-9.58	-9.77
-9.73	-12.54
0.77	-22.19
-5.09	-0.97
0.24	-4.68
10.66	21.46
2.07	-7.39
-3.24	-8.9
